id,title,company,location,region,description,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,created,redirect_url,query,collected_at
5823063859,Data Analyst,Warner Bros. Discovery,"The City, Central London",London,"Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what’s next… From brilliant creatives, to technology trailblazers, a…",44669.64,44669.64,1,,full_time,IT Jobs,2026-08-01T01:42:42Z,https://www.adzuna.co.uk/jobs/land/ad/5823063859?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=959074111BA0E9535A6BB75556BDF903A1C81543,data analyst,2026-08-01T13:27:38.479486+00:00
5822628736,Data Analyst,HAYS Specialist Recruitment,"Belfast, Northern Ireland",Northern Ireland,"Your New Company Hays are partnering with a leading organisation undergoing an exciting period of business transformation and digital innovation. As part of their continued investment in data and analytics, they are seeking a Data Analyst to join their growing Business Transformation team. Your New Role As a Data Analyst, you will play a key role in supporting data-driven decision-making across the organisation. You'll work with business stakeholders to develop reports, analyse complex datasets…",40000.0,40000.0,0,permanent,,IT Jobs,2026-07-31T20:30:56Z,https://www.adzuna.co.uk/jobs/land/ad/5822628736?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=52EC9D1116DF0E78946917AD7B14619BCD855F00,data analyst,2026-08-01T13:27:38.479528+00:00
5823507727,Data Analyst,Ofcom,"Belfast, Northern Ireland",Northern Ireland,"Closing Date: 11/08/2026 Group: Strategy and Research Group Management Level: Associate Job Type: Permanent Job Description: Please note that the advert will close at 00:01 on Tuesday 11 August, so we advise getting your application in by no later than midnight on Monday 10 August. About Ofcom As the UKs communications regulator, were delivering vital work that helps keep the UK connected and shapes how well stay connected with each other in the future. Our work covers everything from phones an…",26645.01,26645.01,1,permanent,part_time,IT Jobs,2026-08-01T08:33:20Z,https://www.adzuna.co.uk/jobs/land/ad/5823507727?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=6AF215D77FD42558595A4EC31104D7508F632DF4,data analyst,2026-08-01T13:27:38.479537+00:00
5818756002,Master Data Analyst,MCS Group,"Belfast, Northern Ireland",Northern Ireland,"Master Data Analyst - Belfast (Exclusive) MCS Group are delighted to be exclusively partnering with a global manufacturing organisation to recruit a Master Data Analyst to join their growing finance function in Belfast. The Company: Our client is a global, high-growth manufacturing business operating across the Americas, EMEA and APAC regions. The company is at the forefront of technological innovation and sustainability, supporting industries focused on energy efficiency and the transition to …",40000.0,40000.0,0,,,Accounting & Finance Jobs,2026-07-28T21:04:53Z,https://www.adzuna.co.uk/jobs/land/ad/5818756002?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=8A30B46773F4DAC9F32478E128D77173FE116F28,data analyst,2026-08-01T13:27:38.479544+00:00
5818755973,Data Analyst - Manufacturing,VANRATH,"Banbridge, County Down",Northern Ireland,"Job Description My client, a leading engineering and infrastructure organisation, is hiring a Data Analyst to join an established Operational Excellence team based in Banbridge. This is an exciting opportunity to join a growing business where you'll play a key role in delivering data-driven insights, improving reporting capabilities, and supporting business decisions across multiple departments. Competitive salary (DOE) Excellent pension scheme Health cash plan & Life Assurance 30 days annual l…",30000.0,30000.0,0,permanent,,IT Jobs,2026-07-28T21:04:53Z,https://www.adzuna.co.uk/jobs/land/ad/5818755973?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=10D72293EFB461C42B7B89CA9BA1E50C6B6E6D3F,data analyst,2026-08-01T13:27:38.479552+00:00
5821891822,Finance Data Analyst,Northern Ireland Housing Executive,"Craigavon, Northern Ireland",Northern Ireland,"Job ref: 2026-109 Job type: Permanent Location: Marlborough House, Craigavon Salary: £27,694 - £32,597 Closing date: Thursday 13 Aug 2026 16:30 Please note that although this job advert is for a permanent post, offers for fixed term contracts may also be made from this file. BAND: 4 JOB PURPOSE: The Financial Data Analyst will be responsible for assisting the Regional Management Accounting team in the provision of accurate and timely information to internal and external stakeholders. REQUIREMEN…",30000.0,30000.0,0,contract,,Admin Jobs,2026-07-31T03:20:56Z,https://www.adzuna.co.uk/jobs/land/ad/5821891822?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=D640F33FCAB74EFA950ACAC759C090F72B8BDEEF,data analyst,2026-08-01T13:27:38.479558+00:00
5817419816,Data Analyst,G-Research,"London, UK",London,"We tackle the most complex problems in quantitative finance, by bringing scientific clarity to financial complexity. From our London HQ, we unite world-class researchers and engineers in an environment that values deep exploration and methodical execution - because the best ideas take time to evolve. Together we’re building a world-class platform to amplify our teams’ most powerful ideas. As part of our engineering team, you’ll shape the platforms and tools that drive high-impact research - des…",51993.86,51993.86,1,,full_time,IT Jobs,2026-07-27T14:39:20Z,https://www.adzuna.co.uk/jobs/land/ad/5817419816?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=CA98D1414D5AFFB28C9DB0FCFDF01FE560D771A5,data analyst,2026-08-01T13:27:38.479564+00:00
5808335541,SQL Data Analyst,VANRATH,"Belfast, Northern Ireland",Northern Ireland,"Job Description My client, a well-established organisation undergoing significant digital transformation, is hiring a Data Analyst to join their Business Transformation team based in Northern Ireland. This is a fantastic opportunity to join a growing data function where you'll help drive business improvement through reporting, analytics, automation and modern data technologies. Competitive salary Hybrid working Flexible working Excellent training and career development Opportunity to work with …",35000.0,35000.0,0,,,IT Jobs,2026-07-20T20:18:26Z,https://www.adzuna.co.uk/jobs/land/ad/5808335541?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=D561805BE6DB1AA251AB961779778DABEBC0E4B5,data analyst,2026-08-01T13:27:38.479570+00:00
5823562604,Data Analyst,Verisk,"Manchester, Greater Manchester",North West England,"hackajob is collaborating with Verisk to connect them with exceptional professionals for this role. Description At Ignite Systems, we help insurers and brokers work smarter through innovative technology, data, and automation solutions. As we continue to grow, we're looking for a Data Analyst to join our team and play a key role in supporting and enhancing insurance scheme pricing models, configurations, and client solutions. This is an excellent opportunity for someone who enjoys working with d…",31723.68,31723.68,1,,,IT Jobs,2026-08-01T09:17:12Z,https://www.adzuna.co.uk/jobs/land/ad/5823562604?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=033CA280E440D68CAFC2BEA0874D7341ADF4E761,data analyst,2026-08-01T13:27:38.479576+00:00
5823562275,Data Analyst,Solirius Reply,"London, UK",London,"hackajob is collaborating with Solirius Reply to connect them with exceptional professionals for this role. Solirius Reply, part of the Reply Group, delivers technical consultancy and application delivery to our clients in order to solve real world problems and allow our clients to respond to an ever-changing technical landscape. We partner closely with our clients, embedding our consultants into their businesses in order to provide a bespoke service, allowing us to truly understand our clients…",59407.18,59407.18,1,,,IT Jobs,2026-08-01T09:17:06Z,https://www.adzuna.co.uk/jobs/land/ad/5823562275?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=54831A28DC8D23A08D643D69753ECA08C359BD43,data analyst,2026-08-01T13:27:38.479582+00:00
5822255564,HR Data Analyst,Liberty Recruitment Group,"Southampton, Hampshire",South East England,"Liberty Recruitment Group are proud to be working with a fantastic organisation in the search for an experienced HR Data Analyst! Our client is a forward-thinking organisation committed to using data and technology to drive informed decision-making and support its people strategy. They are seeking a highly analytical and detail-oriented individual to take ownership of HR systems, reporting, and workforce insights, helping to shape a more data-driven approach across the organisation. This is a n…",40000.0,40000.0,0,permanent,,IT Jobs,2026-07-31T11:14:03Z,https://www.adzuna.co.uk/jobs/land/ad/5822255564?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=08E618EA6E5E5A763D9EC520793E4D7815A3FCF3,data analyst,2026-08-01T13:27:38.479588+00:00
5807302172,DATA ANALYST,EverIT Solutions Limited,"Solihull, West Midlands",West Midlands,"The successful candidate will work with the Informatica team to implement, maintain, and enhance its enterprise-level data architecture using Informatica Power Center and Power Exchange tool. The successful candidate will work as part of a team comprised of a project manager, business analysts, and other members of the technical staff to use test-driven development techniques to develop and implement ETL processes to support sequencing and analysis efforts. Roles and Responsibilities The key sk…",31000.0,31000.0,0,permanent,full_time,IT Jobs,2026-07-19T19:31:59Z,https://www.adzuna.co.uk/jobs/details/5807302172?utm_medium=api&utm_source=68afd3e1,data analyst,2026-08-01T13:27:38.479594+00:00
5789988442,Staff Data Analyst,Simply Business,"London, UK",London,"hackajob is collaborating with Simply Business to connect them with exceptional professionals for this role. Our story - continued commitment to doing the right thing 2005 seems like a long time ago. Simply Business – a small company with a big idea. To transform the way that other small businesses could get the insurance that they need. To reduce time, hassle and jargon wherever possible while introducing the simplicity, choice and value that small businesses are entitled to. To protect them f…",45342.68,45342.68,1,,,IT Jobs,2026-07-06T16:39:31Z,https://www.adzuna.co.uk/jobs/land/ad/5789988442?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=7EB295DCB9F38822CF5344BBF0AA3D780619B3C5,data analyst,2026-08-01T13:27:38.479599+00:00
5814254977,Senior Data Analyst,Admiral Group Plc,"Cardiff, Cardiff County",Wales,"hackajob is collaborating with Admiral Group Plc to connect them with exceptional professionals for this role. We are looking for experienced Senior Data Analysts to join Customer Operations Data and Analytics, specialising in analysis, insight and value realisation. Customer Operations is evolving quickly. We are building faster, more trusted and more connected customer journeys around the moments that matter most. With Genesys central to how we support customers, and AI copilot transforming t…",40569.47,40569.47,1,,,IT Jobs,2026-07-24T20:48:31Z,https://www.adzuna.co.uk/jobs/land/ad/5814254977?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=95912F719796E9A0AB3093D08C43D2A24DC17368,data analyst,2026-08-01T13:27:38.479605+00:00
5787725957,Data Analyst Placement Programme No Experience Needed,IT Online Learning,"Sheffield, South Yorkshire",Yorkshire And The Humber,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",65000.0,65000.0,0,permanent,,IT Jobs,2026-07-04T09:00:34Z,https://www.adzuna.co.uk/jobs/land/ad/5787725957?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=C70C793A006539DBFEA724D373E774FBE2658481,data analyst,2026-08-01T13:27:38.479611+00:00
5821875523,Data Analyst Placement Programme No Experience Needed,IT Online Learning,"Bristol, South West England",South West England,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",65000.0,65000.0,0,permanent,,IT Jobs,2026-07-31T03:10:28Z,https://www.adzuna.co.uk/jobs/land/ad/5821875523?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=C4627C6707029DFAEB0D3CAC6D5F73728D50DE91,data analyst,2026-08-01T13:27:38.479617+00:00
5821875510,Data Analyst Placement Programme No Experience Needed,IT Online Learning,"Leeds, West Yorkshire",Yorkshire And The Humber,"Data Analyst Placement Programme no experience needed From £30,000 to £65,000 per annum Trainee Data Analyst £30,000£65,000 Job Programme This is a self-funded programme that leads to employment, fees apply. Job Guarantee Complete the programme and get a job, or get your course fees back. Location: UK Wide (Remote Opportunities Available) Looking to start a career in Data Analysis? We are offering a structured pathway into Data Analysis, designed to help you enter the industry with no prior exp…",65000.0,65000.0,0,permanent,,IT Jobs,2026-07-31T03:10:28Z,https://www.adzuna.co.uk/jobs/land/ad/5821875510?se=KmpIw6yN8RGOONzcv03M1g&utm_medium=api&utm_source=68afd3e1&v=F1C8F93AE2C755FB904D0631788964DB63CC5218,data analyst,2026-08-01T13:27:38.479622+00:00
