id,title,company,location,region,description,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category,created,redirect_url,query,collected_at
synthetic-00000,Senior Data Analyst - Thistledown Public Sector,Thistledown Public Sector,London,London,"We are looking for a Senior Data Analyst to join our growing data team in London. <p>Key skills and experience:</p><ul><li>Power BI</li><li>Python</li><li>Forecasting</li><li>Snowflake</li><li>Statistical Analysis</li><li>SQL</li><li>Stakeholder Management</li><li>Tableau</li></ul> <p>We offer a competitive salary, hybrid working, and 25 days holiday.</p>",45500.0,53500.0,False,contract,full_time,IT Jobs,2026-06-24T13:40:55.821713+00:00,https://example-jobs.invalid/job/0,senior data analyst,2026-06-26T01:40:55.821713+00:00
synthetic-00001,Business Intelligence Analyst,Solstice Bank,"Remote, UK",Remote,"Exciting opportunity for a Business Intelligence Analyst to make an impact at a fast-growing company based in Remote, UK. <p>Key skills and experience:</p><ul><li>SQL</li><li>Data Modeling</li><li>Excel</li><li>Power BI</li></ul> <p>We offer a competitive salary, hybrid working, and 25 days holiday.</p>",,,False,contract,part_time,IT Jobs,2026-07-11T10:40:55.821713+00:00,https://example-jobs.invalid/job/1,business intelligence analyst,2026-07-11T16:40:55.821713+00:00
synthetic-00002,Head of Data - Ironbridge Manufacturing,Ironbridge Manufacturing,Leeds,Yorkshire and the Humber,Exciting opportunity for a Head of Data to make an impact at a fast-growing company based in Leeds. <p>Key skills and experience:</p><ul><li>Project Management</li><li>Stakeholder Management</li><li>SQL</li><li>Data Modeling</li></ul> Apply now via the link below to find out more &amp; join our team!,,,False,permanent,full_time,IT Jobs,2026-06-23T02:40:55.821713+00:00,https://example-jobs.invalid/job/2,head of data,2026-06-24T15:40:55.821713+00:00
synthetic-00003,Senior Data Engineer,Northbridge Data Co,Leeds,Yorkshire and the Humber,"We are looking for a Senior Data Engineer to join our growing data team in Leeds. You will bring the following: Python, ETL/ELT, Kafka, SQL, Spark, Docker, Airflow, AWS, Kubernetes. This role offers excellent progression opportunities within a supportive team.",,,False,permanent,full_time,IT Jobs,2026-06-21T11:40:55.821713+00:00,https://example-jobs.invalid/job/3,senior data engineer,2026-06-23T02:40:55.821713+00:00
synthetic-00004,Business Intelligence Analyst - Solstice Bank,Solstice Bank,Glasgow,Scotland,"Exciting opportunity for a Business Intelligence Analyst to make an impact at a fast-growing company based in Glasgow. <p>Key skills and experience:</p><ul><li>Power BI</li><li>Azure</li><li>Data Modeling</li><li>SQL</li><li>Excel</li></ul> <p>We offer a competitive salary, hybrid working, and 25 days holiday.</p>",46900.0,55100.0,False,contract,part_time,IT Jobs,2026-06-25T15:40:55.821713+00:00,https://example-jobs.invalid/job/4,business intelligence analyst,2026-06-26T12:40:55.821713+00:00
synthetic-00005,Business Intelligence Analyst - Solstice Bank,Solstice Bank,Edinburgh,Scotland,"Solstice Bank is hiring a Business Intelligence Analyst to help shape our data strategy. <p>Key skills and experience:</p><ul><li>SQL</li><li>Power BI</li><li>Data Modeling</li><li>Excel</li><li>Tableau</li></ul> <p>We offer a competitive salary, hybrid working, and 25 days holiday.</p>",,,False,permanent,full_time,IT Jobs,2026-07-23T21:40:55.821713+00:00,https://example-jobs.invalid/job/5,business intelligence analyst,2026-07-25T05:40:55.821713+00:00
synthetic-00006,Data Engineer,Ironbridge Manufacturing,Edinburgh,Scotland,"Exciting opportunity for a Data Engineer to make an impact at a fast-growing company based in Edinburgh. <p>Key skills and experience:</p><ul><li>Spark</li><li>dbt</li><li>Kubernetes</li><li>ETL/ELT</li><li>Airflow</li><li>Snowflake</li><li>Docker</li><li>SQL</li><li>Python</li><li>CI/CD</li><li>AWS</li><li>Kafka</li></ul> <p>We offer a competitive salary, hybrid working, and 25 days holiday.</p>",,,False,permanent,part_time,IT Jobs,2026-07-15T21:40:55.821713+00:00,https://example-jobs.invalid/job/6,data engineer,2026-07-16T09:40:55.821713+00:00
synthetic-00007,Analytics Engineer - Palmer & Vance Retail,Palmer & Vance Retail,"Remote, UK",Remote,"Exciting opportunity for a Analytics Engineer to make an impact at a fast-growing company based in Remote, UK. <p>Key skills and experience:</p><ul><li>Snowflake</li><li>BigQuery</li><li>Python</li><li>SQL</li><li>Data Modeling</li><li>dbt</li></ul> Apply now via the link below to find out more &amp; join our team!",,,False,permanent,full_time,IT Jobs,2026-07-13T06:40:55.821713+00:00,https://example-jobs.invalid/job/7,analytics engineer,2026-07-13T10:40:55.821713+00:00
synthetic-00008,Business Intelligence Analyst,Ironbridge Manufacturing,Manchester,North West England,"We are looking for a Business Intelligence Analyst to join our growing data team in Manchester. You will bring the following: SQL, Excel, Tableau, Power BI, Data Modeling. This role offers excellent progression opportunities within a supportive team.",,,False,contract,part_time,IT Jobs,2026-07-13T01:40:55.821713+00:00,https://example-jobs.invalid/job/8,business intelligence analyst,2026-07-14T20:40:55.821713+00:00
synthetic-00009,Senior Data Analyst - Palmer & Vance Retail,Palmer & Vance Retail,Bristol,South West England,We are looking for a Senior Data Analyst to join our growing data team in Bristol. <p>Key skills and experience:</p><ul><li>Power BI</li><li>Statistical Analysis</li><li>Stakeholder Management</li><li>Python</li><li>SQL</li><li>Tableau</li></ul> This role offers excellent progression opportunities within a supportive team.,52100.0,61200.0,False,permanent,part_time,IT Jobs,2026-07-28T12:40:55.821713+00:00,https://example-jobs.invalid/job/9,senior data analyst,2026-07-29T10:40:55.821713+00:00
synthetic-00010,Business Intelligence Analyst,Crestline Media,Bristol,South West England,"Exciting opportunity for a Business Intelligence Analyst to make an impact at a fast-growing company based in Bristol. <p>Key skills and experience:</p><ul><li>Excel</li><li>Power BI</li><li>SQL</li><li>Data Modeling</li><li>Azure</li></ul> <p>We offer a competitive salary, hybrid working, and 25 days holiday.</p>",,,False,permanent,full_time,IT Jobs,2026-07-10T00:40:55.821713+00:00,https://example-jobs.invalid/job/10,business intelligence analyst,2026-07-11T03:40:55.821713+00:00
